"ID_REF"	"GSM552568"	"GSM552569"	"GSM552570"	"GSM552571"
10001	0.518738175	-0.385142228	-0.135433725	0.272488896
10002	-1.465594817	-2.468446484	-2.114221539	-1.7818853
10003	-2.710086742	-3.468653737	-3.175568144	-2.900565555
10004	0.680729543	-0.045303544	0.274996426	0.6694119
10005	-1.010644029	-1.702256181	-1.479531042	-1.08366514
10006	-2.498778607	-3.392403174	-2.988170465	-2.741590727
10007	-1.907210374	-2.707128413	-2.403449962	-1.937636338
10008	-2.388760499	-3.030466043	-2.743984693	-2.469591764
10009	-6.27995191	-6.273345763	-5.888632615	-5.910170901
10010	-4.071178531	-4.827391493	-4.379992644	-4.256118269
10011	-1.868444578	-2.770517628	-2.398698775	-2.224675935
10012	-1.257423454	-2.025587271	-1.702174756	-1.443096464
10013	2.509345686	1.841022096	2.037811406	2.390078757
10014	-5.083459993	-5.147643788	-5.34710719	-5.333199235
10015	-4.486582153	-4.897706594	-4.634861058	-4.624253662
10016	-2.964545727	-3.505788719	-3.392894322	-2.872438033
10017	-2.103803076	-2.723694402	-2.463786922	-2.102828121
10018	-0.765983695	-1.840896869	-1.538084988	-1.15263937
10019	-3.920993285	-4.628392183	-4.233479413	-3.988498866
10020	-3.279198652	-4.084245313	-3.574594203	-3.288429929
10021	-3.56054123	-3.943408032	-3.693683775	-3.519975956
10022	-5.690379251	-5.92026841	-5.6115863	-6.062242913
10023	-1.427976515	-1.974208252	-1.945355869	-1.472906687
10024	-0.986995109	-1.725947458	-1.439106246	-1.193152765
10025	-2.171093194	-2.943358283	-2.652217615	-2.204228909
10026	0.28712818	-0.186368824	-0.054303411	0.235225757
10027	-3.410251609	-4.051097678	-3.709032643	-3.497897467
10028	-1.519045432	-2.367289689	-1.718198394	-1.733222821
10029	-0.72128416	-1.513023716	-1.059647396	-0.860253457
10030	-1.073203183	-1.458004463	-1.619773697	-1.421669655
10031	-3.361990051	-3.613629239	-3.571550285	-3.845625717
10032	-2.616217595	-3.577810133	-3.114308448	-2.974986785
10033	-0.134917906	-1.062457566	-0.52409419	-0.343119448
10034	-2.979293955	-3.872884047	-3.536680802	-3.363952138
10035	-3.428676191	-4.249260545	-4.281739005	-3.345153277
10036	-2.929555664	-3.623781074	-3.444826598	-3.109238336
10037	-3.337622315	-3.542107253	-3.627097736	-3.630489232
10038	-0.945295594	-1.811440199	-1.519189635	-1.26578907
10039	-5.012625133	-4.637141747	-4.697816348	-5.050929545
10040	-1.906497093	-2.830902961	-2.445047259	-2.132757579
10041	-0.824167416	-1.550020358	-1.267661718	-0.933009431
10042	-1.499904272	-2.836082201	-2.416916285	-2.225282511
10043	-2.394118152	-3.349390989	-2.917929216	-2.560480865
10044	-0.402405668	-1.336771918	-0.965830267	-0.570841608
10045	-1.145234727	-1.795521034	-1.585777525	-1.479292128
10046	-0.73326724	-1.584127012	-1.376461759	-1.042263516
10047	-3.04967635	-3.529620511	-3.599290948	-3.39590762
10048	-3.002016414	-3.546919849	-3.549120496	-3.299112484
10049	-6.016616197	-5.880406527	-5.833487482	-5.922529717
10050	-1.448591074	-2.247884277	-1.915632216	-1.275330065
10051	-1.367534014	-2.144659925	-1.71654196	-1.60541494
10052	-0.905649971	-1.633240531	-1.43625748	-0.81507419
10053	-2.440958338	-3.441194845	-2.850002982	-2.546475576
10054	-3.696686686	-3.987482153	-4.12579772	-4.014065515
10055	3.575856492	2.976152295	3.150879823	3.33472701
10056	-1.060973522	-1.981139787	-1.690897387	-1.419113177
10057	-1.526283448	-2.286171466	-1.93006303	-1.655727932
10058	-3.135511972	-3.603741835	-3.313832441	-3.056284463
10059	0.180932619	-0.759209781	-0.229735349	-0.014458755
10060	1.767728578	1.268395598	1.378923582	1.94080073
10061	-5.660806259	-5.994562963	-4.359899975	-4.128708014
10062	-3.372499908	-4.054965747	-3.718478875	-3.339935316
10063	-1.922098808	-2.626767061	-2.311655598	-2.000585307
10064	0.689848021	0.029952924	0.34777455	0.68807226
10065	-4.869841241	-5.034552584	-4.919034261	-4.646779429
10066	-2.475076609	-3.297787266	-2.924664181	-2.646604241
10067	-3.958391935	-4.790460361	-4.288883365	-4.739454613
10068	-3.706242445	-4.35465769	-4.096343359	-3.819082199
10069	-0.482969549	-1.343849047	-0.977143579	-0.651490691
10070	0.046054197	-0.766126464	-0.484352803	-0.067673797
10071	-1.675376662	-2.319739761	-2.027477331	-1.585161297
10072	-2.506695669	-3.347203016	-3.012301295	-2.670815221
10073	-4.098812699	-3.57227948	-3.298429889	-4.172389041
10074	-2.077620362	-2.787503276	-2.446107712	-1.994355873
10075	-1.813733503	-2.614075824	-2.347235569	-1.956595846
10076	-0.793161339	-1.516060321	-1.220808551	-0.822952283
10077	-1.360247172	-2.032094663	-1.749561841	-1.5621571
10078	3.905799889	3.203340151	3.758944992	3.860964018
10079	-0.168223355	-0.948828448	-0.602274856	-0.226570848
10080	2.201150087	1.43316021	1.573104784	1.944999737
10081	-1.716715749	-2.574804771	-2.13436107	-1.999340085
10082	-2.777576432	-2.479267436	-2.076297041	-1.714561936
10083	-2.107756993	-3.13655669	-2.68250257	-2.251619537
10084	-2.246832987	-3.344031675	-3.025381511	-2.488919066
10085	-2.034245592	-2.837146796	-2.55239666	-2.079223971
10086	-4.159939467	-4.533930438	-4.671934021	-4.465018194
10087	-2.394650985	-3.132987049	-2.948663698	-2.665439838
10088	-4.065700953	-4.904294846	-4.129065825	-4.313959396
10089	-5.2980187	-5.270248718	-5.381562211	-5.468048543
10090	-0.745622435	-1.138502641	-1.112283571	-0.765251843
10091	-0.279250307	-1.152433416	-0.929157782	-0.53423914
10092	-0.596815978	-1.461467043	-0.970846555	-0.546962235
10093	-1.436246303	-2.191161406	-1.806997823	-1.470068664
10094	-1.654564915	-2.203849405	-1.878004178	-1.547860154
10095	-5.410307903	-5.653847547	-5.403594498	-5.411294836
10096	-1.500516468	-2.259237268	-1.953259669	-1.346746805
10097	-4.031522591	-4.586920411	-4.552832779	-4.223759138
10098	0.246356739	-0.63143247	-0.389589803	0.073031772
10099	1.660183349	0.879548834	1.117609631	1.503072651
10100	-2.632472318	-3.299956913	-3.201275192	-2.750832972
10101	-1.16497578	-2.087540299	-1.723067102	-1.497834165
10102	-4.056748151	-4.688810322	-4.640441799	-4.014007552
10103	0.480267077	-0.187674122	0.023055989	0.525835356
10104	-1.183814335	-1.991921082	-1.736797816	-1.391503116
10105	-3.442712025	-4.033568133	-3.866777753	-3.727866773
10106	-2.659280821	-2.774763915	-2.638759147	-2.45243496
10107	-3.245693161	-3.814300988	-3.694205011	-3.313663956
10108	-2.891613088	-3.432220762	-3.223018679	-2.811250351
