"","pcc_ids","sak_ids"
"1","PCCGCIGL_00007","SAKL0A00132g"
"2","PCCGCIGL_00010","SAKL0A00154g"
"3","PCCGCIGL_00012","SAKL0A00176g"
"4","PCCGCIGL_00014","SAKL0A00198g"
"5","PCCGCIGL_00015","SAKL0A00220g"
"6","PCCGCIGL_00017","SAKL0A00242g"
"7","PCCGCIGL_00018","SAKL0A00264g"
"8","PCCGCIGL_00019","SAKL0A00286g"
"9","PCCGCIGL_00022","SAKL0A00308g"
"10","PCCGCIGL_00024","SAKL0A00330g"
"11","PCCGCIGL_00027","SAKL0A00352g"
"12","PCCGCIGL_00029","SAKL0A00374g"
"13","PCCGCIGL_00030","SAKL0A00396g"
"14","PCCGCIGL_00031","SAKL0A00418g"
"15","PCCGCIGL_00032","SAKL0A00440g"
"16","PCCGCIGL_00034","SAKL0A00462g"
"17","PCCGCIGL_00035","SAKL0A00484g"
"18","PCCGCIGL_00036","SAKL0A00506g"
"19","PCCGCIGL_00038","SAKL0A00528g"
"20","PCCGCIGL_00039","SAKL0A00550g"
"21","PCCGCIGL_00040","SAKL0A00572g"
"22","PCCGCIGL_00041","SAKL0A00594g"
"23","PCCGCIGL_00042","SAKL0A00616g"
"24","PCCGCIGL_00043","SAKL0A00638g"
"25","PCCGCIGL_00044","SAKL0A00660g"
"26","PCCGCIGL_00050","SAKL0A00704g"
"27","PCCGCIGL_00052","SAKL0A00726g"
"28","PCCGCIGL_00054","SAKL0A00748g"
"29","PCCGCIGL_00055","SAKL0A00770g"
"30","PCCGCIGL_00056","SAKL0A00792g"
"31","PCCGCIGL_00057","SAKL0A00814g"
"32","PCCGCIGL_00059","SAKL0A00836g"
"33","PCCGCIGL_00060","SAKL0A00858g"
"34","PCCGCIGL_00061","SAKL0A00880g"
"35","PCCGCIGL_00062","SAKL0A00902g"
"36","PCCGCIGL_00064","SAKL0A00924g"
"37","PCCGCIGL_00065","SAKL0A00946g"
"38","PCCGCIGL_00066","SAKL0A00968g"
"39","PCCGCIGL_00068","SAKL0A00990g"
"40","PCCGCIGL_00069","SAKL0A01012g"
"41","PCCGCIGL_00070","SAKL0A01034g"
"42","PCCGCIGL_00072","SAKL0A01056g"
"43","PCCGCIGL_00073","SAKL0A01078g"
"44","PCCGCIGL_00074","SAKL0A01100g"
"45","PCCGCIGL_00075","SAKL0A01122g"
"46","PCCGCIGL_00076","SAKL0A01144g"
"47","PCCGCIGL_00077","SAKL0A01166g"
"48","PCCGCIGL_00078","SAKL0A01188g"
"49","PCCGCIGL_00079","SAKL0A01210g"
"50","PCCGCIGL_00080","SAKL0A01232g"
"51","PCCGCIGL_00081","SAKL0A01254g"
"52","PCCGCIGL_00082","SAKL0A01276g"
"53","PCCGCIGL_00083","SAKL0A01298g"
"54","PCCGCIGL_00085","SAKL0A01320g"
"55","PCCGCIGL_00086","SAKL0A01342g"
"56","PCCGCIGL_00087","SAKL0A01364g"
"57","PCCGCIGL_00089","SAKL0A01386g"
"58","PCCGCIGL_00090","SAKL0A01408g"
"59","PCCGCIGL_00091","SAKL0A01430g"
"60","PCCGCIGL_00092","SAKL0A01452g"
"61","PCCGCIGL_00093","SAKL0A01474g"
"62","PCCGCIGL_00094","SAKL0A01496g"
"63","PCCGCIGL_00095","SAKL0A01518g"
"64","PCCGCIGL_00096","SAKL0A01628g"
"65","PCCGCIGL_00097","SAKL0A01650g"
"66","PCCGCIGL_00098","SAKL0A01672g"
"67","PCCGCIGL_00099","SAKL0A01694g"
"68","PCCGCIGL_00100","SAKL0A01716g"
"69","PCCGCIGL_00101","SAKL0A01738g"
"70","PCCGCIGL_00102","SAKL0A01760g"
"71","PCCGCIGL_00103","SAKL0A01782g"
"72","PCCGCIGL_00104","SAKL0A01804g"
"73","PCCGCIGL_00105","SAKL0A01826g"
"74","PCCGCIGL_00106","SAKL0A01848g"
"75","PCCGCIGL_00107","SAKL0A01870g"
"76","PCCGCIGL_00108","SAKL0A01892g"
"77","PCCGCIGL_00109","SAKL0A01914g"
"78","PCCGCIGL_00110","SAKL0A01936g"
"79","PCCGCIGL_00112","SAKL0A01958g"
"80","PCCGCIGL_00113","SAKL0A01980g"
"81","PCCGCIGL_00114","SAKL0A02002g"
"82","PCCGCIGL_00115","SAKL0A02024g"
"83","PCCGCIGL_00117","SAKL0A02046g"
"84","PCCGCIGL_00118","SAKL0A02068g"
"85","PCCGCIGL_00121","SAKL0A02090g"
"86","PCCGCIGL_00122","SAKL0A02112g"
"87","PCCGCIGL_00124","SAKL0A02134g"
"88","PCCGCIGL_00126","SAKL0A02156g"
"89","PCCGCIGL_00127","SAKL0A02178g"
"90","PCCGCIGL_00128","SAKL0A02200g"
"91","PCCGCIGL_00130","SAKL0A02222g"
"92","PCCGCIGL_00131","SAKL0A02244g"
"93","PCCGCIGL_00133","SAKL0A02266g"
"94","PCCGCIGL_00136","SAKL0A02288g"
"95","PCCGCIGL_00137","SAKL0A02310g"
"96","PCCGCIGL_00138","SAKL0A02332g"
"97","PCCGCIGL_00139","SAKL0A02354g"
"98","PCCGCIGL_00140","SAKL0A02376g"
"99","PCCGCIGL_00141","SAKL0A02398g"
"100","PCCGCIGL_00142","SAKL0A02420g"
"101","PCCGCIGL_00143","SAKL0A02442g"
"102","PCCGCIGL_00145","SAKL0A02464g"
"103","PCCGCIGL_00146","SAKL0A02486g"
"104","PCCGCIGL_00147","SAKL0A02508g"
"105","PCCGCIGL_00148","SAKL0A02530g"
"106","PCCGCIGL_00149","SAKL0A02552g"
"107","PCCGCIGL_00150","SAKL0A02574g"
"108","PCCGCIGL_00151","SAKL0A02596g"
"109","PCCGCIGL_00153","SAKL0A02618g"
