Condition,SAKIDs,IDs,Value,pcc_ids,highlight
YPD,SAKL0A00132g,11677,-4.157864255,PCCGCIGL_00007,FALSE
YPD,SAKL0A00154g,13177,-6.242903165,PCCGCIGL_00010,FALSE
YPD,SAKL0A00176g,15008,-5.202201537,PCCGCIGL_00012,FALSE
YPD,SAKL0A00198g,15280,-2.886108966,PCCGCIGL_00014,FALSE
YPD,SAKL0A00220g,10806,-0.413660471,PCCGCIGL_00015,FALSE
YPD,SAKL0A00242g,13388,-2.103287112,PCCGCIGL_00017,FALSE
YPD,SAKL0A00264g,12895,-4.008333655,PCCGCIGL_00018,FALSE
YPD,SAKL0A00286g,13317,-3.021532566,PCCGCIGL_00019,FALSE
YPD,SAKL0A00308g,13595,0.441846638,PCCGCIGL_00022,FALSE
YPD,SAKL0A00330g,14100,-3.608820784,PCCGCIGL_00024,FALSE
YPD,SAKL0A00352g,12852,-1.149625312,PCCGCIGL_00027,FALSE
YPD,SAKL0A00374g,13197,-2.573272434,PCCGCIGL_00029,FALSE
YPD,SAKL0A00396g,13814,-2.655891963,PCCGCIGL_00030,FALSE
YPD,SAKL0A00418g,14383,-2.539676417,PCCGCIGL_00031,FALSE
YPD,SAKL0A00440g,10574,-0.27403506,PCCGCIGL_00032,FALSE
YPD,SAKL0A00462g,11283,-3.069142483,PCCGCIGL_00034,FALSE
YPD,SAKL0A00484g,10603,-3.447542996,PCCGCIGL_00035,FALSE
YPD,SAKL0A00506g,10686,-1.761746336,PCCGCIGL_00036,FALSE
YPD,SAKL0A00528g,10491,-2.610428285,PCCGCIGL_00038,FALSE
YPD,SAKL0A00550g,15138,-1.559809679,PCCGCIGL_00039,FALSE
YPD,SAKL0A00572g,12534,-3.883180278,PCCGCIGL_00040,FALSE
YPD,SAKL0A00594g,13922,-0.762341122,PCCGCIGL_00041,FALSE
YPD,SAKL0A00616g,14034,-0.661868983,PCCGCIGL_00042,FALSE
YPD,SAKL0A00638g,10424,-2.671281683,PCCGCIGL_00043,FALSE
YPD,SAKL0A00660g,13462,-0.614094217,PCCGCIGL_00044,FALSE
YPD,SAKL0A00704g,12022,-1.909767312,PCCGCIGL_00050,FALSE
YPD,SAKL0A00726g,11941,-2.38495619,PCCGCIGL_00052,FALSE
YPD,SAKL0A00748g,13127,0.43847898,PCCGCIGL_00054,FALSE
YPD,SAKL0A00770g,14042,0.543052187,PCCGCIGL_00055,FALSE
YPD,SAKL0A00792g,14857,-2.18120118,PCCGCIGL_00056,FALSE
YPD,SAKL0A00814g,10217,-0.054483002,PCCGCIGL_00057,FALSE
YPD,SAKL0A00836g,12613,-2.084517495,PCCGCIGL_00059,FALSE
YPD,SAKL0A00858g,10572,-3.188963058,PCCGCIGL_00060,FALSE
YPD,SAKL0A00880g,12699,-5.572876922,PCCGCIGL_00061,FALSE
YPD,SAKL0A00902g,14315,-3.471692697,PCCGCIGL_00062,FALSE
YPD,SAKL0A00924g,11895,NA,PCCGCIGL_00064,FALSE
YPD,SAKL0A00946g,13520,-1.273858879,PCCGCIGL_00065,FALSE
